timestep,track_id,x,y,speed,state,threat,quality,missed,last_seen
0,101,12.5,-7.3,45.2,TENTATIVE,MEDIUM,VALID,0,0
0,102,-4.1,3.8,12,TENTATIVE,HIGH,VALID,0,0
0,103,25,15,85,TENTATIVE,MEDIUM,VALID,0,0
0,104,-8,-12,22,TENTATIVE,MEDIUM,VALID,0,0
1,101,13.2,-6.8,45,CONFIRMED,HIGH,VALID,0,1
1,102,-3.9,4.2,11.8,CONFIRMED,HIGH,VALID,0,1
1,103,24.5,14.2,88,CONFIRMED,HIGH,VALID,0,1
1,104,-7.5,-11.5,21.5,CONFIRMED,HIGH,VALID,0,1
2,101,13.9,-6.2,44.9,CONFIRMED,HIGH,VALID,0,2
2,102,-3.9,4.2,11.8,COASTING,MEDIUM,VALID,1,1
2,103,23.8,13.5,92,CONFIRMED,HIGH,VALID,0,2
2,104,-7,-11,21,CONFIRMED,HIGH,VALID,0,2
2,105,2,8.5,15,TENTATIVE,HIGH,VALID,0,2
3,101,14.6,-5.7,44.7,CONFIRMED,HIGH,VALID,0,3
3,102,-3.1,5.1,12.3,CONFIRMED,HIGH,VALID,0,3
3,103,22.9,12.8,95,CONFIRMED,HIGH,VALID,0,3
3,104,-6.5,-10.5,20.5,CONFIRMED,HIGH,VALID,0,3
3,105,2.5,9,16,CONFIRMED,HIGH,VALID,0,3
4,101,15.3,-5.1,44.5,CONFIRMED,HIGH,VALID,0,4
4,102,-3.1,5.1,12.3,COASTING,MEDIUM,VALID,1,3
4,103,21.8,12,98,CONFIRMED,HIGH,VALID,0,4
4,104,-6.5,-10.5,20.5,COASTING,LOW,VALID,1,3
4,105,3,9.5,17,CONFIRMED,HIGH,VALID,0,4
4,106,-15,18,55,TENTATIVE,LOW,VALID,0,4
5,101,16,-4.6,44.3,CONFIRMED,HIGH,VALID,0,5
5,102,-2.3,6,12.5,CONFIRMED,HIGH,VALID,0,5
5,103,20.5,11.2,102,CONFIRMED,HIGH,DEGRADED,0,5
5,104,-5.5,-9.5,19.5,CONFIRMED,HIGH,VALID,0,5
5,105,3.5,10,18,CONFIRMED,HIGH,VALID,0,5
5,106,-14,17,58,CONFIRMED,MEDIUM,VALID,0,5
6,101,16.7,-4,44.1,CONFIRMED,HIGH,VALID,0,6
6,102,-1.8,6.5,13,CONFIRMED,HIGH,VALID,0,6
6,103,20.5,11.2,102,COASTING,LOW,DEGRADED,1,5
6,104,-5.5,-9.5,19.5,COASTING,LOW,VALID,1,5
6,105,4,10.5,19,CONFIRMED,HIGH,VALID,0,6
6,106,-13,16,60,CONFIRMED,MEDIUM,VALID,0,6
7,101,17.4,-3.5,43.9,CONFIRMED,HIGH,VALID,0,7
7,102,-1.2,7,13.5,CONFIRMED,HIGH,VALID,0,7
7,103,20.5,11.2,102,COASTING,LOW,DEGRADED,2,5
7,104,-5.5,-9.5,19.5,COASTING,LOW,VALID,2,5
7,105,4.5,11,20,CONFIRMED,HIGH,VALID,0,7
7,106,-11.5,15,62,CONFIRMED,HIGH,VALID,0,7
7,107,5.5,-2,25,TENTATIVE,HIGH,VALID,0,7
8,101,18.1,-2.9,43.7,CONFIRMED,HIGH,VALID,0,8
8,102,-0.6,7.5,14,CONFIRMED,HIGH,VALID,0,8
8,105,5,11.5,21,CONFIRMED,HIGH,VALID,0,8
8,106,-10,14,65,CONFIRMED,HIGH,VALID,0,8
8,107,6,-1.5,28,CONFIRMED,HIGH,VALID,0,8
