timestep,track_id,x,y,speed
0,101,12.5,-7.3,45.2
0,102,-4.1,3.8,12.0
0,103,25.0,15.0,85.0
0,104,-8.0,-12.0,22.0
1,101,13.2,-6.8,45.0
1,102,-3.9,4.2,11.8
1,103,24.5,14.2,88.0
1,104,-7.5,-11.5,21.5
2,101,13.9,-6.2,44.9
2,103,23.8,13.5,92.0
2,104,-7.0,-11.0,21.0
2,105,2.0,8.5,15.0
3,101,14.6,-5.7,44.7
3,102,-3.1,5.1,12.3
3,103,22.9,12.8,95.0
3,104,-6.5,-10.5,20.5
3,105,2.5,9.0,16.0
4,101,15.3,-5.1,44.5
4,103,21.8,12.0,98.0
4,105,3.0,9.5,17.0
4,106,-15.0,18.0,55.0
5,101,16.0,-4.6,44.3
5,102,-2.3,6.0,12.5
5,103,20.5,11.2,102.0
5,104,-5.5,-9.5,19.5
5,105,3.5,10.0,18.0
5,106,-14.0,17.0,58.0
6,101,16.7,-4.0,44.1
6,102,-1.8,6.5,13.0
6,105,4.0,10.5,19.0
6,106,-13.0,16.0,60.0
7,101,17.4,-3.5,43.9
7,102,-1.2,7.0,13.5
7,105,4.5,11.0,20.0
7,106,-11.5,15.0,62.0
7,107,5.5,-2.0,25.0
8,101,18.1,-2.9,43.7
8,102,-0.6,7.5,14.0
8,105,5.0,11.5,21.0
8,106,-10.0,14.0,65.0
8,107,6.0,-1.5,28.0
9,101,18.8,-2.4,43.5
9,102,0.0,8.0,14.5
9,106,-8.0,13.0,68.0
9,107,6.8,-1.0,30.0
9,108,-3.0,-4.0,40.0
10,101,19.5,-1.8,43.3
10,102,0.6,8.5,15.0
10,106,-6.0,12.0,70.0
10,107,7.5,-0.5,32.0
10,108,-2.5,-3.5,42.0
11,101,20.2,-1.3,43.1
11,102,1.2,9.0,15.5
11,106,-4.0,11.0,72.0
11,107,8.2,0.0,35.0
11,108,-2.0,-3.0,44.0
12,101,20.9,-0.7,42.9
12,102,1.8,9.5,16.0
12,106,-2.0,10.0,75.0
12,107,9.0,0.5,38.0
12,108,-1.5,-2.5,46.0
13,101,21.6,-0.2,42.7
13,102,2.4,10.0,16.5
13,106,0.0,9.5,78.0
13,107,9.8,1.0,40.0
13,108,-1.0,-2.0,48.0
14,101,22.3,0.4,42.5
14,102,3.0,10.5,17.0
14,106,2.0,9.0,80.0
14,107,10.5,1.5,42.0
14,108,-0.5,-1.5,50.0
15,101,23.0,0.9,42.3
15,102,3.6,11.0,17.5
15,106,4.0,8.5,82.0
15,107,11.2,2.0,45.0
15,108,0.0,-1.0,52.0
16,102,4.2,11.5,18.0
16,106,6.0,8.0,85.0
16,107,12.0,2.5,48.0
16,108,0.5,-0.5,54.0
17,102,4.8,12.0,18.5
17,106,8.0,7.5,88.0
17,107,12.8,3.0,50.0
17,108,1.0,0.0,56.0
18,102,5.4,12.5,19.0
18,106,10.0,7.0,90.0
18,107,13.5,3.5,52.0
18,108,1.5,0.5,58.0
19,102,6.0,13.0,19.5
19,106,12.0,6.5,92.0
19,107,14.2,4.0,55.0
19,108,2.0,1.0,60.0
20,102,6.6,13.5,20.0
20,106,14.0,6.0,95.0
20,107,15.0,4.5,58.0
20,108,2.5,1.5,62.0
